poi_id,aoi_id,poi_geo,aoi_geo,poi_lat,poi_lng,aoi_lat,aoi_lng
2889785,323556,wwgqd13y,wwgq6pz8,39.119349,117.160624,39.110031,117.168695
2889785,318802,wwgqd13y,wwgq6nwj,39.119349,117.160624,39.104,117.166535
2889785,36931,wwgqd13y,wwgqd95h,39.119349,117.160624,39.117518,117.184629
2889785,265397,wwgqd13y,wwgqd0kr,39.119349,117.160624,39.113963,117.164193
2889785,105771,wwgqd13y,wwgqd6f3,39.119349,117.160624,39.126702,117.172597
2889785,342382,wwgqd13y,wwgqd6bg,39.119349,117.160624,39.126959,117.170388
2889785,88369,wwgqd13y,wwgqdh3g,39.119349,117.160624,39.13529,117.160913
2889785,117213,wwgqd13y,wwgq9cjh,39.119349,117.160624,39.117639,117.1544
2889785,329758,wwgqd13y,wwgq9bzc,39.119349,117.160624,39.115663,117.157933
2889785,295359,wwgqd13y,wwgq3y5k,39.119349,117.160624,39.10108,117.15192
2889785,195508,wwgqd13y,wwgq6pvv,39.119349,117.160624,39.110899,117.166236
2889785,54289,wwgqd13y,wwgq9b7j,39.119349,117.160624,39.113658,117.151667
2889785,212538,wwgqd13y,wwgqd02t,39.119349,117.160624,39.113581,117.158903
2889785,399996,wwgqd13y,wwgqdkrv,39.119349,117.160624,39.135638,117.179872
2889785,254096,wwgqd13y,wwgqd1ep,39.119349,117.160624,39.120792,117.162572
2889785,48484,wwgqd13y,wwgqdhnd,39.119349,117.160624,39.133731,117.167458
2889785,419910,wwgqd13y,wwgqd5j6,39.119349,117.160624,39.12818,117.165751
2889785,80117,wwgqd13y,wwgqd0u8,39.119349,117.160624,39.115484,117.164403
2889785,374809,wwgqd13y,wwgq9cwz,39.119349,117.160624,39.12092,117.156653
2889785,45109,wwgqd13y,wwgqd65h,39.119349,117.160624,39.123168,117.173592
2889785,74977,wwgqd13y,wwgq6x4z,39.119349,117.160624,39.107132,117.184187
2889785,386810,wwgqd13y,wwgq9bxh,39.119349,117.160624,39.114767,117.157088
2889785,64664,wwgqd13y,wwgqd1w7,39.119349,117.160624,39.120234,117.166815
2889785,384816,wwgqd13y,wwgq9fpc,39.119349,117.160624,39.122648,117.158021
2889785,131154,wwgqd13y,wwgqd924,39.119349,117.160624,39.118673,117.180403
2889785,242427,wwgqd13y,wwgqd42n,39.119349,117.160624,39.124858,117.158395
2889785,281988,wwgqd13y,wwgqd5sn,39.119349,117.160624,39.131608,117.163768
2889785,317990,wwgqd13y,wwgqdkfu,39.119349,117.160624,39.138261,117.172992
2889785,178892,wwgqd13y,wwgq9bbz,39.119349,117.160624,39.116816,117.148398
2889785,360304,wwgqd13y,wwgqd6j0,39.119349,117.160624,39.122406,117.176299
2889785,422083,wwgqd13y,wwgqd0q6,39.119349,117.160624,39.113055,117.166843
2889785,369784,wwgqd13y,wwgqd1yj,39.119349,117.160624,39.121892,117.166698
2889785,11009,wwgqd13y,wwgqd7zx,39.119349,117.160624,39.133291,117.179806
2889785,215393,wwgqd13y,wwgqdhzq,39.119349,117.160624,39.138558,117.168224
2889785,399623,wwgqd13y,wwgq9cuw,39.119349,117.160624,39.122104,117.153731
2889785,120735,wwgqd13y,wwgq6tbc,39.119349,117.160624,39.099185,117.181516
2889785,330861,wwgqd13y,wwgqd10h,39.119349,117.160624,39.117527,117.158409
2889785,419279,wwgqd13y,wwgq9fnb,39.119349,117.160624,39.122385,117.156624
2889785,78255,wwgqd13y,wwgqdkzh,39.119349,117.160624,39.138187,117.178891
2889785,147190,wwgqd13y,wwgq9c9j,39.119349,117.160624,39.120481,117.148735
2889785,177142,wwgqd13y,wwgq9bzt,39.119349,117.160624,39.116418,117.157661
2889785,412229,wwgqd13y,wwgq9c78,39.119349,117.160624,39.118305,117.152025
2889785,142485,wwgqd13y,wwgq3zwb,39.119349,117.160624,39.108674,117.156642
2889785,264756,wwgqd13y,wwgq9dzf,39.119349,117.160624,39.126821,117.146904
2889785,61122,wwgqd13y,wwgqd16r,39.119349,117.160624,39.119539,117.16139
2889785,358666,wwgqd13y,wwgqd5tc,39.119349,117.160624,39.130734,117.166416
2889785,316380,wwgqd13y,wwgq6pu0,39.119349,117.160624,39.109962,117.163946
2889785,352306,wwgqd13y,wwgqd0c1,39.119349,117.160624,39.115706,117.159799
2889785,128642,wwgqd13y,wwgqd5hr,39.119349,117.160624,39.12902,117.164226
2889785,283977,wwgqd13y,wwgqde9k,39.119349,117.160624,39.131306,117.181933
2889785,137066,wwgqd13y,wwgq9bnh,39.119349,117.160624,39.112083,117.155578
2889785,385464,wwgqd13y,wwgqd31j,39.119349,117.160624,39.117803,117.170809
2889785,313917,wwgqd13y,wwgqd0gp,39.119349,117.160624,39.116732,117.162398
2889785,27602,wwgqd13y,wwgqdm73,39.119349,117.160624,39.140383,117.173939
2889785,38124,wwgqd13y,wwgqd363,39.119349,117.160624,39.118377,117.172611
2889785,49634,wwgqd13y,wwgqd2b5,39.119349,117.160624,39.116117,117.169374
2889785,412109,wwgqd13y,wwgq9cr6,39.119349,117.160624,39.118697,117.157497
